,Date,Year,Month,Day,Tmax_C,Tmin_C,Srad,Ws_2m,q,Prcp,ETo,ETr_ASCE
7637,1999-11-29,1999,11,29,16.2598510742,-3.27384033203,126.264648438,2.40329078491,0.00271050469019,0.0,2.34818148613,3.86397298122
7638,1999-11-30,1999,11,30,16.8487792969,-1.23984375,122.210319519,2.37744786323,0.0025100603234,0.0,2.47793149948,4.10956706512
7639,1999-12-01,1999,12,1,16.4189697266,-0.838995361328,96.2378692627,2.7306623973,0.00217740773223,0.0,2.7640004158,4.62611063753
7640,1999-12-02,1999,12,2,9.4883972168,-4.5496887207,128.822189331,2.76653862113,0.00266165356152,0.0,1.7924926281,2.77543594856
7641,1999-12-03,1999,12,3,5.27803955078,-4.99979248047,104.665412903,4.2905698252,0.00281130848452,0.0,1.55442392826,2.36259197385
7642,1999-12-04,1999,12,4,2.99831542969,-9.45950927734,128.06729126,2.18636699078,0.00301485438831,0.0,0.808811903,1.02164298298
7643,1999-12-05,1999,12,5,1.74804077148,-11.6492980957,130.052154541,0.908578600191,0.00263839121908,0.0,0.649307489395,0.712514393968
7644,1999-12-06,1999,12,6,4.04793701172,-11.9195922852,128.522842407,1.00436503635,0.00225029676221,0.0,0.816277861595,1.03272097478
7645,1999-12-07,1999,12,7,7.64800415039,-8.78952636719,124.533584595,1.61715631147,0.00200216425583,0.0,1.29310965538,1.94388188079
7646,1999-12-08,1999,12,8,4.39821777344,-7.38999023437,75.8490829468,2.9725110938,0.00235885451548,0.0,1.32542192936,2.0077317858
7647,1999-12-09,1999,12,9,3.28804931641,-11.7099975586,118.103919983,1.54014504681,0.00207970570773,0.0,0.926747441292,1.28281279399
7648,1999-12-10,1999,12,10,7.07805786133,-7.20905151367,86.1313323975,1.7635859222,0.002334816847,0.0,1.25555729866,1.87194970064
7649,1999-12-11,1999,12,11,5.12844238281,-7.17011108398,116.242706299,3.09385459597,0.00228829192929,0.0,1.45331346989,2.22266569631
7650,1999-12-12,1999,12,12,4.14885864258,-11.6492980957,125.145309448,1.57612398609,0.00166369637009,0.0,1.08029818535,1.59059123756
7651,1999-12-13,1999,12,13,6.69811401367,-8.34973754883,105.452850342,1.96376317497,0.00166292092763,0.0,1.44023823738,2.24761136517
7652,1999-12-14,1999,12,14,3.55874023438,-10.449041748,126.752731323,4.64978429677,0.00118449074216,0.0,1.97844231129,3.20003297221
7653,1999-12-15,1999,12,15,1.49868164063,-14.2193054199,123.889312744,1.79886404253,0.000840594817419,0.0,1.16814172268,1.81609155434
7654,1999-12-16,1999,12,16,4.16787109375,-12.189855957,117.719963074,2.22397404126,0.000960783916526,0.0,1.47448003292,2.36543875317
7655,1999-12-17,1999,12,17,7.41884765625,-9.80997314453,121.878417969,2.19094620956,0.00146286422387,0.0,1.58737003803,2.55097639747
7656,1999-12-18,1999,12,18,7.69786987305,-7.75992431641,119.268814087,1.70724738996,0.00191454263404,0.0,1.34097790718,2.06106693899
7657,1999-12-19,1999,12,19,4.79833374023,-8.32913818359,122.704902649,3.48733180286,0.00191764428746,0.0,1.60223937035,2.51317534183
7658,1999-12-20,1999,12,20,4.75798950195,-9.47897949219,118.012817383,3.6094322965,0.00187732279301,0.0,1.5974625349,2.51257907063
7659,1999-12-21,1999,12,21,3.43883666992,-10.6196960449,99.8171386719,1.3498812615,0.00226929434575,0.0,0.845116138458,1.1451559486
7660,1999-12-22,1999,12,22,2.70861206055,-11.6699279785,121.787315369,1.62798851155,0.00190329912584,0.0,0.942013442516,1.33588731632
7661,1999-12-23,1999,12,23,3.97789916992,-11.0400146484,121.989051819,0.836141472036,0.00158848124556,0.0,0.818777084351,1.1107639677
7662,1999-12-24,1999,12,24,5.21868286133,-8.98996582031,119.665786743,0.689778064622,0.00174084992614,0.0,0.796628057957,1.05300253161
7663,1999-12-25,1999,12,25,5.3682800293,-10.0997375488,101.021072388,1.20606786319,0.00217857095413,0.0,0.938036501408,1.30467947593
7664,1999-12-26,1999,12,26,6.97832641602,-6.47949829102,118.988975525,2.20597030558,0.00348320440389,0.0,1.0498239994,1.44376201118
7665,1999-12-27,1999,12,27,6.74797973633,-6.97998657227,122.529197693,0.692349740266,0.00291909091175,0.0,0.776251494884,0.925493143073
7666,1999-12-28,1999,12,28,7.17897949219,-6.50928344727,121.800331116,0.482225851526,0.00286132260226,0.0,0.721454381943,0.814833409587
7667,1999-12-29,1999,12,29,7.19799194336,-6.15997924805,123.668052673,0.919639413472,0.00234063249081,0.0,0.949748456478,1.28529785772
7668,1999-12-30,1999,12,30,6.82872924805,-7.26975097656,124.331840515,0.766846348841,0.0023549774196,0.0,0.860974490643,1.11290075291
7669,1999-12-31,1999,12,31,5.31960449219,-1.24097290039,120.134346008,1.52160134173,0.00213398458436,1.92170250416,1.26573455334,1.86222126272
7670,2000-01-01,2000,1,1,7.94967041016,-4.02091064453,81.614364624,2.91501879601,0.00266586337239,1.66764497757,1.67820763588,2.60067299077
7671,2000-01-02,2000,1,2,2.89043579102,-5.62079467773,76.9725723267,2.04985798051,0.003067829879,0.0,0.860493838787,1.1600513986
7672,2000-01-03,2000,1,3,-0.850378417969,-13.3106140137,125.183433533,4.47879160598,0.00196574954316,0.0,0.947814583778,1.37376514031
7673,2000-01-04,2000,1,4,-2.10050048828,-16.1901611328,124.486167908,1.1662625951,0.00157519162167,1.38165640831,0.649175882339,0.810183354226
